KM;LAT;LONG;;;;;KM;LAT;LONG
0,88;-22,518276;-44,707417;;;;;214,88;-22,712295;-43,735062
0,89;-22,518324;-44,707501;;;;;214,89;-22,712221;-43,735102
0,9;-22,518371;-44,707584;;;;;214,9;-22,712147;-43,735142
0,91;-22,518419;-44,707667;;;;;214,91;-22,712072;-43,735182
0,92;-22,518466;-44,70775;;;;;214,92;-22,711998;-43,735223
0,93;-22,518514;-44,707833;;;;;214,93;-22,711924;-43,735263
0,94;-22,518562;-44,707917;;;;;214,94;-22,711849;-43,735303
0,95;-22,518609;-44,708;;;;;214,95;-22,711775;-43,735343
0,96;-22,518657;-44,708083;;;;;214,96;-22,711701;-43,735384
0,97;-22,518704;-44,708166;;;;;214,97;-22,711626;-43,735424
0,98;-22,518747;-44,708252;;;;;214,98;-22,711552;-43,735464
0,99;-22,518784;-44,70834;;;;;214,99;-22,711478;-43,735504
1;-22,518821;-44,708428;;;;;215;-22,711403;-43,735545
1,01;-22,518859;-44,708517;;;;;215,01;-22,711329;-43,735585
1,02;-22,518896;-44,708605;;;;;215,02;-22,711255;-43,735625
1,03;-22,518933;-44,708693;;;;;215,03;-22,71118;-43,735665
1,04;-22,518971;-44,708782;;;;;215,04;-22,711106;-43,735706
1,05;-22,519008;-44,70887;;;;;215,05;-22,711032;-43,735746
1,06;-22,519045;-44,708958;;;;;215,06;-22,710957;-43,735786
1,07;-22,519083;-44,709047;;;;;215,07;-22,710883;-43,735826
1,08;-22,51912;-44,709135;;;;;215,08;-22,710808;-43,735867
1,09;-22,519157;-44,709223;;;;;215,09;-22,710734;-43,735907
1,1;-22,519194;-44,709312;;;;;215,1;-22,71066;-43,735947
1,11;-22,519232;-44,7094;;;;;215,11;-22,710585;-43,735987
1,12;-22,519269;-44,709488;;;;;215,12;-22,710511;-43,736027
1,13;-22,519306;-44,709577;;;;;215,13;-22,710437;-43,736068
1,14;-22,519344;-44,709665;;;;;215,14;-22,710362;-43,736108
1,15;-22,519381;-44,709753;;;;;215,15;-22,710288;-43,736148
1,16;-22,519418;-44,709842;;;;;215,16;-22,710214;-43,736188
1,17;-22,519455;-44,70993;;;;;215,17;-22,710139;-43,736228
1,18;-22,519493;-44,710018;;;;;215,18;-22,710064;-43,736267
1,19;-22,51953;-44,710107;;;;;215,19;-22,709989;-43,736306
1,2;-22,519567;-44,710195;;;;;215,2;-22,709914;-43,736345
1,21;-22,519605;-44,710283;;;;;215,21;-22,709839;-43,736384
1,22;-22,519642;-44,710372;;;;;215,22;-22,709764;-43,736422
1,23;-22,519679;-44,71046;;;;;215,23;-22,709688;-43,73646
1,24;-22,519716;-44,710548;;;;;215,24;-22,709613;-43,736499
1,25;-22,519754;-44,710637;;;;;215,25;-22,709539;-43,736539
1,26;-22,519783;-44,710728;;;;;215,26;-22,709464;-43,736578
1,27;-22,519806;-44,710821;;;;;215,27;-22,709389;-43,736618
1,28;-22,519829;-44,710914;;;;;215,28;-22,709314;-43,736657
1,29;-22,519852;-44,711007;;;;;215,29;-22,709239;-43,736697
1,3;-22,519875;-44,7111;;;;;215,3;-22,709165;-43,736736
1,31;-22,519897;-44,711193;;;;;215,31;-22,709091;-43,736777
1,32;-22,51992;-44,711286;;;;;215,32;-22,709018;-43,736821
1,33;-22,519942;-44,71138;;;;;215,33;-22,708944;-43,736862
1,34;-22,519965;-44,711473;;;;;215,34;-22,708868;-43,736897
1,35;-22,519987;-44,711566;;;;;215,35;-22,708792;-43,736934
1,36;-22,520008;-44,71166;;;;;215,36;-22,708718;-43,736973
1,37;-22,52003;-44,711753;;;;;215,37;-22,708643;-43,737013
1,38;-22,520051;-44,711847;;;;;215,38;-22,708568;-43,737053
1,39;-22,520073;-44,71194;;;;;215,39;-22,708494;-43,737093
1,4;-22,520096;-44,712033;;;;;215,4;-22,70842;-43,737134
1,41;-22,520119;-44,712126;;;;;215,41;-22,708347;-43,737177
1,42;-22,520142;-44,712219;;;;;215,42;-22,708274;-43,737221
1,43;-22,520166;-44,712312;;;;;215,43;-22,708203;-43,737266
1,44;-22,520191;-44,712404;;;;;215,44;-22,708132;-43,737312
1,45;-22,520217;-44,712497;;;;;215,45;-22,708061;-43,737358
1,46;-22,520243;-44,712589;;;;;215,46;-22,707992;-43,737407
1,47;-22,520271;-44,712681;;;;;215,47;-22,707924;-43,737456
1,48;-22,5203;-44,712772;;;;;215,48;-22,707853;-43,737502
1,49;-22,520329;-44,712864;;;;;215,49;-22,707781;-43,737547
1,5;-22,520358;-44,712955;;;;;215,5;-22,707721;-43,737606
1,51;-22,520388;-44,713046;;;;;215,51;-22,70766;-43,737665
1,52;-22,520417;-44,713137;;;;;215,52;-22,7076;-43,737725
1,53;-22,520446;-44,713228;;;;;215,53;-22,707539;-43,737782
1,54;-22,520477;-44,71332;;;;;215,54;-22,707475;-43,737838
1,55;-22,520509;-44,71341;;;;;215,55;-22,707411;-43,737894
1,56;-22,520542;-44,7135;;;;;215,56;-22,707347;-43,737949
1,57;-22,520575;-44,71359;;;;;215,57;-22,707282;-43,738002
1,58;-22,520609;-44,71368;;;;;215,58;-22,707217;-43,738057
1,59;-22,520644;-44,713769;;;;;215,59;-22,707156;-43,738114
1,6;-22,52068;-44,713858;;;;;215,6;-22,707094;-43,738172
1,61;-22,520717;-44,713947;;;;;215,61;-22,707032;-43,73823
1,62;-22,520754;-44,714035;;;;;215,62;-22,70697;-43,738287
1,63;-22,520792;-44,714123;;;;;215,63;-22,706908;-43,738344
1,64;-22,520829;-44,714211;;;;;215,64;-22,706845;-43,738401
1,65;-22,520867;-44,714298;;;;;215,65;-22,706783;-43,738459
1,66;-22,520907;-44,714386;;;;;215,66;-22,706721;-43,738516
1,67;-22,520946;-44,714473;;;;;215,67;-22,706658;-43,738573
1,68;-22,520987;-44,71456;;;;;215,68;-22,706595;-43,738629
1,69;-22,521029;-44,714647;;;;;215,69;-22,706538;-43,738691
1,7;-22,521071;-44,714733;;;;;215,7;-22,706482;-43,738754
1,71;-22,521114;-44,714818;;;;;215,71;-22,706414;-43,738805
1,72;-22,521158;-44,714903;;;;;215,72;-22,706348;-43,738858
1,73;-22,521204;-44,714987;;;;;215,73;-22,706285;-43,738914
1,74;-22,52125;-44,715072;;;;;215,74;-22,70623;-43,738977
1,75;-22,521296;-44,715156;;;;;215,75;-22,706178;-43,739044
1,76;-22,521343;-44,71524;;;;;215,76;-22,706119;-43,739104
1,77;-22,52139;-44,715323;;;;;215,77;-22,70606;-43,739165
1,78;-22,521436;-44,715407;;;;;215,78;-22,706002;-43,739227
1,79;-22,521483;-44,715491;;;;;215,79;-22,705946;-43,739291
1,8;-22,521529;-44,715575;;;;;215,8;-22,705892;-43,739355
1,81;-22,521575;-44,715659;;;;;215,81;-22,705841;-43,739422
1,82;-22,521622;-44,715743;;;;;215,82;-22,705791;-43,73949
1,83;-22,521668;-44,715827;;;;;215,83;-22,705742;-43,73956
1,84;-22,521714;-44,71591;;;;;215,84;-22,705695;-43,73963
1,85;-22,521761;-44,715994;;;;;215,85;-22,705649;-43,739701
1,86;-22,521808;-44,716078;;;;;215,86;-22,705608;-43,739775
1,87;-22,521854;-44,716162;;;;;215,87;-22,705566;-43,739848
1,88;-22,521901;-44,716246;;;;;215,88;-22,705525;-43,739921
1,89;-22,521947;-44,71633;;;;;215,89;-22,705489;-43,739998
1,9;-22,521994;-44,716414;;;;;215,9;-22,705453;-43,740075
1,91;-22,52204;-44,716498;;;;;215,91;-22,705418;-43,740151
1,92;-22,522086;-44,716582;;;;;215,92;-22,705385;-43,740229
1,93;-22,522131;-44,716666;;;;;215,93;-22,705353;-43,740307
1,94;-22,522179;-44,716749;;;;;215,94;-22,705323;-43,740386
1,95;-22,522227;-44,716833;;;;;215,95;-22,705292;-43,740465
1,96;-22,522274;-44,716916;;;;;215,96;-22,705262;-43,740544
1,97;-22,522321;-44,717;;;;;215,97;-22,70523;-43,740622
1,98;-22,522368;-44,717083;;;;;215,98;-22,705199;-43,740701
1,99;-22,522415;-44,717167;;;;;215,99;-22,705169;-43,74078
2;-22,522462;-44,717251;;;;;216;-22,705139;-43,740859
2,01;-22,522508;-44,717334;;;;;216,01;-22,705109;-43,740939
2,02;-22,522553;-44,717419;;;;;216,02;-22,705079;-43,741018
2,03;-22,522597;-44,717503;;;;;216,03;-22,70505;-43,741097
2,04;-22,522642;-44,717589;;;;;216,04;-22,705021;-43,741176
2,05;-22,522686;-44,717674;;;;;216,05;-22,704992;-43,741256
2,06;-22,522732;-44,717758;;;;;216,06;-22,704963;-43,741335
2,07;-22,522779;-44,717842;;;;;216,07;-22,704934;-43,741414
2,08;-22,522828;-44,717924;;;;;216,08;-22,704905;-43,741494
2,09;-22,522876;-44,718007;;;;;216,09;-22,704876;-43,741573
2,1;-22,522925;-44,71809;;;;;216,1;-22,704847;-43,741652
2,11;-22,522973;-44,718173;;;;;216,11;-22,704817;-43,741732
2,12;-22,52302;-44,718256;;;;;216,12;-22,704787;-43,741811
2,13;-22,523068;-44,718339;;;;;216,13;-22,704758;-43,74189
2,14;-22,523115;-44,718423;;;;;216,14;-22,704728;-43,741969
2,15;-22,523159;-44,718508;;;;;216,15;-22,704699;-43,742048
2,16;-22,523203;-44,718593;;;;;216,16;-22,704669;-43,742128
2,17;-22,523249;-44,718677;;;;;216,17;-22,70464;-43,742207
2,18;-22,523294;-44,718762;;;;;216,18;-22,704611;-43,742286
2,19;-22,523339;-44,718847;;;;;216,19;-22,704582;-43,742365
2,2;-22,523381;-44,718933;;;;;216,2;-22,704552;-43,742445
2,21;-22,523423;-44,719019;;;;;216,21;-22,704523;-43,742524
2,22;-22,523462;-44,719106;;;;;216,22;-22,704494;-43,742603
2,23;-22,523501;-44,719194;;;;;216,23;-22,704464;-43,742682
2,24;-22,523538;-44,719282;;;;;216,24;-22,704434;-43,742761
2,25;-22,523573;-44,719371;;;;;216,25;-22,704404;-43,74284
2,26;-22,523608;-44,71946;;;;;216,26;-22,704374;-43,742919
2,27;-22,523641;-44,719551;;;;;216,27;-22,704344;-43,742998
2,28;-22,523673;-44,719641;;;;;216,28;-22,704314;-43,743077
2,29;-22,523704;-44,719732;;;;;216,29;-22,704284;-43,743156
2,3;-22,523733;-44,719824;;;;;216,3;-22,704254;-43,743236
2,31;-22,52376;-44,719915;;;;;216,31;-22,704225;-43,743315
2,32;-22,523785;-44,720007;;;;;216,32;-22,704195;-43,743394
2,33;-22,52381;-44,7201;;;;;216,33;-22,704166;-43,743473
2,34;-22,523832;-44,720194;;;;;216,34;-22,704136;-43,743552
2,35;-22,523853;-44,720287;;;;;216,35;-22,704106;-43,743631
2,36;-22,523873;-44,720381;;;;;216,36;-22,704076;-43,743711
2,37;-22,523892;-44,720475;;;;;216,37;-22,70405;-43,743791
2,38;-22,523911;-44,720569;;;;;216,38;-22,704025;-43,743872
2,39;-22,523927;-44,720663;;;;;216,39;-22,703996;-43,743951
2,4;-22,523943;-44,720758;;;;;216,4;-22,703967;-43,74403
2,41;-22,523956;-44,720853;;;;;216,41;-22,703938;-43,74411
2,42;-22,523968;-44,720948;;;;;216,42;-22,703908;-43,744189
2,43;-22,523979;-44,721043;;;;;216,43;-22,703878;-43,744268
2,44;-22,523987;-44,721139;;;;;216,44;-22,70385;-43,744347
2,45;-22,523995;-44,721235;;;;;216,45;-22,703821;-43,744427
2,46;-22,524001;-44,72133;;;;;216,46;-22,703792;-43,744506
2,47;-22,524006;-44,721426;;;;;216,47;-22,703763;-43,744586
2,48;-22,52401;-44,721522;;;;;216,48;-22,703733;-43,744665
2,49;-22,524013;-44,721618;;;;;216,49;-22,703703;-43,744744
2,5;-22,524015;-44,721714;;;;;216,5;-22,703674;-43,744823
2,51;-22,524015;-44,721809;;;;;216,51;-22,703644;-43,744902
2,52;-22,524013;-44,721905;;;;;216,52;-22,703614;-43,744981
2,53;-22,52401;-44,722001;;;;;216,53;-22,703585;-43,745061
2,54;-22,524006;-44,722097;;;;;216,54;-22,703556;-43,74514
2,55;-22,523999;-44,722193;;;;;216,55;-22,703526;-43,745219
2,56;-22,523991;-44,722288;;;;;216,56;-22,703497;-43,745299
2,57;-22,523982;-44,722383;;;;;216,57;-22,703468;-43,745378
2,58;-22,523972;-44,722478;;;;;216,58;-22,703443;-43,745459
2,59;-22,52396;-44,722573;;;;;216,59;-22,703416;-43,745539
2,6;-22,523947;-44,722669;;;;;216,6;-22,703382;-43,745616
2,61;-22,523935;-44,722764;;;;;216,61;-22,703351;-43,745695
2,62;-22,523922;-44,722859;;;;;216,62;-22,703322;-43,745774
2,63;-22,523909;-44,722954;;;;;216,63;-22,703295;-43,745854
2,64;-22,523897;-44,723049;;;;;216,64;-22,703268;-43,745934
2,65;-22,523884;-44,723144;;;;;216,65;-22,703237;-43,746013
2,66;-22,523872;-44,723239;;;;;216,66;-22,703205;-43,746091
2,67;-22,523861;-44,723334;;;;;216,67;-22,703174;-43,74617
2,68;-22,52385;-44,723429;;;;;216,68;-22,703144;-43,746249
2,69;-22,523841;-44,723525;;;;;216,69;-22,703116;-43,746328
2,7;-22,523833;-44,723621;;;;;216,7;-22,703084;-43,746407
2,71;-22,523826;-44,723716;;;;;216,71;-22,703053;-43,746486
2,72;-22,523821;-44,723812;;;;;216,72;-22,703026;-43,746566
2,73;-22,523815;-44,723907;;;;;216,73;-22,702998;-43,746646
2,74;-22,523809;-44,724003;;;;;216,74;-22,702969;-43,746724
2,75;-22,523804;-44,724099;;;;;216,75;-22,702939;-43,746803
2,76;-22,523799;-44,724194;;;;;216,76;-22,702909;-43,746883
2,77;-22,523791;-44,72429;;;;;216,77;-22,702878;-43,746962
2,78;-22,523783;-44,724386;;;;;216,78;-22,702848;-43,74704
2,79;-22,52378;-44,724481;;;;;216,79;-22,702818;-43,747119
2,8;-22,52378;-44,724578;;;;;216,8;-22,702787;-43,747198
2,81;-22,523776;-44,724673;;;;;216,81;-22,702757;-43,747277
2,82;-22,523772;-44,724769;;;;;216,82;-22,702728;-43,747357
2,83;-22,52377;-44,724865;;;;;216,83;-22,702698;-43,747436
2,84;-22,523769;-44,72496;;;;;216,84;-22,702668;-43,747515
2,85;-22,523768;-44,725057;;;;;216,85;-22,702634;-43,747592
2,86;-22,52377;-44,725153;;;;;216,86;-22,702599;-43,747669
2,87;-22,523776;-44,725248;;;;;216,87;-22,702564;-43,747746
2,88;-22,523782;-44,725344;;;;;216,88;-22,702529;-43,747823
2,89;-22,52378;-44,72544;;;;;216,89;-22,702494;-43,7479
2,9;-22,523781;-44,725535;;;;;216,9;-22,702458;-43,747977
2,91;-22,523784;-44,725631;;;;;216,91;-22,702422;-43,748053
2,92;-22,523789;-44,725727;;;;;216,92;-22,702384;-43,748128
2,93;-22,523796;-44,725823;;;;;216,93;-22,702341;-43,748201
2,94;-22,523804;-44,725919;;;;;216,94;-22,7023;-43,748274
2,95;-22,523813;-44,726014;;;;;216,95;-22,702263;-43,748351
2,96;-22,523822;-44,726109;;;;;216,96;-22,702221;-43,748424
2,97;-22,523831;-44,726205;;;;;216,97;-22,702174;-43,748494
2,98;-22,52384;-44,7263;;;;;216,98;-22,702126;-43,748563
2,99;-22,52385;-44,726395;;;;;216,99;-22,702076;-43,748632
3;-22,52386;-44,726491;;;;;217;-22,702026;-43,7487
3,01;-22,523872;-44,726586;;;;;217,01;-22,701976;-43,748767
3,02;-22,523883;-44,726681;;;;;217,02;-22,701924;-43,748835
3,03;-22,523888;-44,726776;;;;;217,03;-22,701873;-43,748903
3,04;-22,523894;-44,726872;;;;;217,04;-22,701821;-43,748969
3,05;-22,523902;-44,726968;;;;;217,05;-22,701769;-43,749036
3,06;-22,523912;-44,727063;;;;;217,06;-22,701717;-43,749102
3,07;-22,523922;-44,727159;;;;;217,07;-22,701665;-43,749169
3,08;-22,523932;-44,727254;;;;;217,08;-22,701612;-43,749235
3,09;-22,523942;-44,727349;;;;;217,09;-22,70156;-43,749302
3,1;-22,523952;-44,727445;;;;;217,1;-22,701509;-43,749369
3,11;-22,52396;-44,72754;;;;;217,11;-22,701457;-43,749435
3,12;-22,523966;-44,727636;;;;;217,12;-22,7014;-43,749498
3,13;-22,523972;-44,727732;;;;;217,13;-22,701344;-43,74956
3,14;-22,523978;-44,727828;;;;;217,14;-22,701296;-43,74963
3,15;-22,523985;-44,727923;;;;;217,15;-22,701248;-43,7497
3,16;-22,523993;-44,728019;;;;;217,16;-22,701198;-43,749768
3,17;-22,524001;-44,728114;;;;;217,17;-22,701147;-43,749835
3,18;-22,524009;-44,728209;;;;;217,18;-22,701097;-43,749903
3,19;-22,524018;-44,728305;;;;;217,19;-22,701046;-43,749971
3,2;-22,524027;-44,728401;;;;;217,2;-22,700995;-43,750038
3,21;-22,524035;-44,728496;;;;;217,21;-22,700945;-43,750106
3,22;-22,524044;-44,728592;;;;;217,22;-22,700894;-43,750174
3,23;-22,524053;-44,728687;;;;;217,23;-22,700844;-43,750242
3,24;-22,524063;-44,728782;;;;;217,24;-22,700793;-43,750309
3,25;-22,524072;-44,728877;;;;;217,25;-22,700743;-43,750377
3,26;-22,524082;-44,728973;;;;;217,26;-22,700692;-43,750445
3,27;-22,524092;-44,729068;;;;;217,27;-22,700641;-43,750512
3,28;-22,524102;-44,729164;;;;;217,28;-22,700591;-43,75058
3,29;-22,524113;-44,729259;;;;;217,29;-22,70054;-43,750648
3,3;-22,524123;-44,729354;;;;;217,3;-22,700496;-43,75072
3,31;-22,524133;-44,72945;;;;;217,31;-22,700457;-43,750795
3,32;-22,524144;-44,729545;;;;;217,32;-22,700419;-43,750871
3,33;-22,524154;-44,72964;;;;;217,33;-22,700384;-43,750948
3,34;-22,524165;-44,729736;;;;;217,34;-22,700351;-43,751026
3,35;-22,524175;-44,729831;;;;;217,35;-22,700321;-43,751105
3,36;-22,524185;-44,729926;;;;;217,36;-22,700293;-43,751184
3,37;-22,524195;-44,730022;;;;;217,37;-22,700268;-43,751265
3,38;-22,524205;-44,730117;;;;;217,38;-22,700244;-43,751346
3,39;-22,524214;-44,730213;;;;;217,39;-22,700222;-43,751428
3,4;-22,524224;-44,730308;;;;;217,4;-22,700201;-43,75151
3,41;-22,524234;-44,730403;;;;;217,41;-22,70018;-43,751592
3,42;-22,524244;-44,730499;;;;;217,42;-22,700164;-43,751674
3,43;-22,524254;-44,730594;;;;;217,43;-22,70015;-43,751757
3,44;-22,524264;-44,730689;;;;;217,44;-22,700139;-43,751841
3,45;-22,524274;-44,730784;;;;;217,45;-22,700129;-43,751925
3,46;-22,524284;-44,730879;;;;;217,46;-22,700122;-43,75201
3,47;-22,524294;-44,730975;;;;;217,47;-22,700116;-43,752094
3,48;-22,524305;-44,731071;;;;;217,48;-22,700115;-43,752178
3,49;-22,524314;-44,731166;;;;;217,49;-22,700116;-43,752263
3,5;-22,524324;-44,731261;;;;;217,5;-22,700117;-43,752348
3,51;-22,524334;-44,731356;;;;;217,51;-22,700121;-43,752432
3,52;-22,524343;-44,731452;;;;;217,52;-22,700127;-43,752516
3,53;-22,524352;-44,731547;;;;;217,53;-22,700136;-43,7526
3,54;-22,524361;-44,731643;;;;;217,54;-22,700147;-43,752684
3,55;-22,52437;-44,731738;;;;;217,55;-22,700159;-43,752768
3,56;-22,524379;-44,731834;;;;;217,56;-22,700174;-43,752851
3,57;-22,524388;-44,73193;;;;;217,57;-22,700191;-43,752934
3,58;-22,524398;-44,732025;;;;;217,58;-22,70021;-43,753016
3,59;-22,524407;-44,73212;;;;;217,59;-22,700228;-43,753099
3,6;-22,524417;-44,732215;;;;;217,6;-22,700247;-43,753181
3,61;-22,524427;-44,732311;;;;;217,61;-22,700266;-43,753263
3,62;-22,524437;-44,732406;;;;;217,62;-22,700285;-43,753346
3,63;-22,524448;-44,732502;;;;;217,63;-22,700304;-43,753428
3,64;-22,524458;-44,732597;;;;;217,64;-22,700323;-43,75351
3,65;-22,524469;-44,732692;;;;;217,65;-22,700342;-43,753593
3,66;-22,524481;-44,732787;;;;;217,66;-22,700361;-43,753675
3,67;-22,524494;-44,732882;;;;;217,67;-22,700379;-43,753758
3,68;-22,524507;-44,732977;;;;;217,68;-22,700398;-43,75384
3,69;-22,524522;-44,733072;;;;;217,69;-22,700417;-43,753922
3,7;-22,524538;-44,733166;;;;;217,7;-22,700436;-43,754005
3,71;-22,524555;-44,73326;;;;;217,71;-22,700457;-43,754098
3,72;-22,524573;-44,733355;;;;;217,72;-22,700475;-43,754193
3,73;-22,524593;-44,733449;;;;;217,73;-22,700493;-43,754287
3,74;-22,524613;-44,733543;;;;;217,74;-22,700512;-43,754382
3,75;-22,524634;-44,733636;;;;;217,75;-22,700526;-43,754477
3,76;-22,524656;-44,73373;;;;;217,76;-22,700542;-43,75457
3,77;-22,524678;-44,733823;;;;;217,77;-22,700545;-43,754665
3,78;-22,524701;-44,733916;;;;;217,78;-22,700549;-43,754762
3,79;-22,524726;-44,734008;;;;;217,79;-22,700553;-43,754858
3,8;-22,524751;-44,7341;;;;;217,8;-22,700563;-43,754954
3,81;-22,524778;-44,734193;;;;;217,81;-22,700578;-43,755049
3,82;-22,524806;-44,734284;;;;;217,82;-22,700594;-43,755143
3,83;-22,524835;-44,734376;;;;;217,83;-22,700611;-43,755238
3,84;-22,524866;-44,734467;;;;;217,84;-22,700631;-43,755331
3,85;-22,524896;-44,734558;;;;;217,85;-22,700648;-43,755426
3,86;-22,524928;-44,734648;;;;;217,86;-22,700663;-43,755521
