ID do NOX;Latitude;Longitude
14000274;0;0
14000275;0;0
14000276;-23,271044;-45,968122
14000277;-23,364271;-46,22526
14000278;0;0
14000279;0;0
14000280;-23,352507;-46,181578
14000281;-23,352456;-46,200786
14000282;-23,401508;-46,310677
14000283;0;0
14000284;0;0
14000285;0;0
14000286;0;0
14000287;-23,401478;-46,310199
14000288;0;0
14000289;-23,437307;-46,430947
14000290;0;0
14000291;-23,352239;-46,198818
14000292;-23,401617;-46,310924
14000293;0;0
14000294;-23,364128;-46,225085
14000295;0;0
14000296;0;0
14000297;-23,395158;-46,289781
14000298;0;0
14000299;0;0
14000300;-23,333204;-46,13917
14000301;0;0
14000302;0;0
14000303;0;0
14000304;0;0
14000305;0;0
14000306;0;0
14000307;0;0
14000308;-23,400574;-46,306803
14000309;-23,401793;-46,311919
14000310;-23,401761;-46,311684
14000311;0;0
14000312;-23,401623;-46,310922
14000313;0;0
14000314;0;0
14000315;0;0
14000316;0;0
14000317;0;0
14000318;0;0
14000319;0;0
14000320;-23,39019;-46,279506
14000321;-23,401474;-46,310174
14000322;0;0
14000323;-23,226163;-45,906776
14000324;-23,390335;-46,279705
14000325;-23,493014;-46,552661
14000326;0;0
14000327;0;0
14000328;0;0
14000329;-23,401661;-46,311185
14000330;0;0
14000331;0;0
14000332;0;0
14000333;0;0
14000334;0;0
14000335;0;0
14000336;-23,40067;-46,307527
14000337;-23,427713;-46,409654
14000338;0;0
14000339;0;0
14000340;-22,457252;-44,41466
14000341;-23,400646;-46,307145
14000342;0;0
14000343;0;0
14000344;-22,51852;-44,707974
14000345;-23,401535;-46,310443
14000346;-23,35179;-46,199913
14000347;-22,489008;-44,554121
14000348;-23,401596;-46,310712
14000349;-23,255501;-45,943501
14000350;-23,442325;-46,442599
14000351;0;0
14000352;-22,487563;-44,551935
14000353;-22,487321;-44,550916
14000354;-23,332285;-46,137333
14000355;0;0
14000356;-23,401675;-46,311452
14000357;0;0
14000358;-23,442397;-46,442829
14000359;-23,442257;-46,442105
14000360;0;0
14000361;0;0
14000362;0;0
14000363;-23,490744;-46,549725
14000364;0;0
14000365;0;0
14000366;0;0
14000367;0;0
14000368;0;0
14000369;0;0
14000370;0;0
14000371;-23,352268;-46,198807
14000372;0;0
14000373;0;0
14000374;0;0
14000375;0;0
14000376;0;0
14000377;0;0
14000378;0;0
14000379;0;0
14000380;0;0
14000381;-23,271679;-45,96908
14000382;-22,517236;-44,705752
14000383;-23,352498;-46,199471
14000384;-22,517927;-44,707
14000385;0;0
14000386;-23,106633;-45,697742
14000387;0;0
14000388;-23,106615;-45,697737
14000389;0;0
14000390;-23,352542;-46,199799
14000391;0;0
14000392;0;0
14000393;0;0
14000394;0;0
14000395;-22,487052;-44,551689
14000396;0;0
14000397;-23,471517;-46,517956
14000398;0;0
14000399;0;0
14000400;-23,436707;-46,429931
14000401;-23,352498;-46,181566
14000402;-22,517817;-44,706715
14000403;0;0
14000404;0;0
14000405;0;0
14000406;-23,441443;-46,442348
14000407;0;0
14000408;0;0
14000409;0;0
14000410;-23,27105;-45,968111
14000411;-22,486987;-44,551505
14000412;-23,2549;-45,942699
14000413;0;0
14000414;0;0
14000415;0;0
14000416;0;0
14000417;-23,442284;-46,442412
14000418;0;0
14000419;0;0
14000420;0;0
14000421;0;0
14000422;0;0
14000423;0;0
14000424;-22,488837;-44,553468
14000425;0;0
14000426;-23,427995;-46,410293
14000427;0;0
14000428;0;0
14000429;-23,427847;-46,409941
14000430;-22,457389;-44,416389
14000431;0;0
14000432;-22,48798;-44,552341
14000433;-23,470933;-46,517197
14000434;0;0
14000435;0;0
14000436;0;0
14000437;-23,441101;-46,442501
14000438;0;0
14000439;0;0
14000440;0;0
14000441;0;0
14000442;-23,441367;-46,44266
14000443;0;0
14000444;0;0
14000445;0;0
14000446;0;0
14000447;0;0
14000448;0;0
14000449;-22,457472;-44,417297
14000450;-23,332951;-46,138633
14000451;-23,440989;-46,442273
14000452;0;0
14000453;-22,518097;-44,707231
14000454;0;0
14000455;-23,454267;-46,472233
14000456;0;0
14000457;0;0
14000458;0;0
14000459;0;0
14000460;-22,5188;-44,708449
14000461;0;0
14000462;0;0
14000463;-23,442411;-46,444629
14000464;-23,499819;-46,560764
14000465;0;0
14000466;0;0
14000467;0;0
14000468;0;0
14000469;0;0
14000470;-23,260386;-45,949813
14000471;0;0
14000472;0;0
14000473;0;0
14000474;-23,4547;-46,473099
14000475;-22,487808;-44,551603
14000476;0;0
14000477;-23,2561;-45,943199
14000478;-23,454564;-46,472358
14000479;-23,334396;-46,141441
14000480;0;0
14000481;-23,454399;-46,472698
14000482;-22,45732;-44,415772
14000483;0;0
14000484;0;0
14000485;-22,48718;-44,551821
14000486;-23,454806;-46,473522
14000487;0;0
14000488;0;0
14000489;-23,226601;-45,9077
14000490;0;0
14000491;0;0
14000492;0;0
14000493;-23,2556;-45,943802
14000494;0;0
14000495;-23,258307;-45,949064
14000496;0;0
14000497;-22,457327;-44,415781
14000498;0;0
14000499;0;0
14000500;0;0
14000501;-23,2547;-45,942299
14000502;0;0
14000503;0;0
14000504;0;0
14000505;-23,454478;-46,472742
14000506;-23,2339;-45,9151
14000507;-22,488337;-44,552617
14000508;-23,4548;-46,4729
14000509;0;0
14000510;-23,254999;-45,943001
14000511;0;0
14000512;0;0
14000513;0;0
14000514;-23,260829;-45,950113
14000515;0;0
14000516;0;0
14000517;-23,454933;-46,473831
14000518;0;0
14000519;-23,454478;-46,472742
14000520;0;0
14000521;-22,488833;-44,553441
14000522;-23,351814;-46,199901
14000523;0;0
14000524;-23,352011;-46,181125
14000525;0;0
14000526;-23,334262;-46,141201
14000527;-23,260283;-45,949552
14000528;-22,489018;-44,554119
14000529;-23,454597;-46,473022
14000530;-23,333344;-46,139395
14000531;-23,4545;-46,472401
14000532;0;0
14000533;-23,455161;-46,474375
14000534;0;0
14000535;0;0
14000536;0;0
14000537;-23,352048;-46,181312
14000538;0;0
14000539;0;0
14000540;0;0
14000541;-23,469161;-46,511125
14000542;0;0
14000543;-23,332554;-46,137852
14000544;0;0
14000545;0;0
14000546;0;0
14000547;-23,490744;-46,549725
14000548;0;0
14000549;-23,455;-46,474602
14000550;0;0
14000551;0;0
14000552;0;0
14000553;-23,452;-46,473999
14000554;0;0
14000555;-23,498942;-45,915925
14000556;-23,333478;-46,139654
14000557;-23,331893;-46,136535
14000558;-23,333723;-46,140154
14000559;0;0
14000560;-23,351815;-46,199881
14000561;-23,352448;-46,200794
14000562;-23,455017;-46,473433
14000563;-23,43579;-46,427519
14000564;-23,2266;-45,9075
14000565;0;0
14000566;-23,469761;-46,513075
14000567;-23,332418;-46,137605
14000568;0;0
14000569;0;0
14000570;-23,334174;-46,140985
14000571;0;0
14000572;0;0
14000573;-23,455017;-46,473433
14000574;0;0
14000575;-23,351819;-46,199903
14000576;-23,2314;-45,912899
14000577;0;0
14000578;-23,332153;-46,137083
14000579;-23,2262;-45,9072
14000580;-23,332807;-46,138367
14000581;0;0
14000582;0;0
14000583;-23,35245;-46,200788
14000584;-23,333617;-46,139918
14000585;-23,469325;-46,511675
14000586;-23,503939;-46,567364
14000587;-23,471633;-46,518239
14000588;-23,499414;-46,560291
14000589;0;0
14000590;0;0
14000591;0;0
14000592;-23,461872;-46,49035
14000593;-23,490877;-46,549706
14000594;-23,471872;-46,518711
14000595;-23,461872;-46,49035
14000596;0;0
14000597;-23,461961;-46,490614
14000598;-23,2272;-45,905998
14000599;-23,461961;-46,490614
14000600;0;0
14000601;-23,462064;-46,490881
14000602;0;0
14000603;-23,462064;-46,490881
14000604;-23,2335;-45,913101
14000605;-23,234501;-45,916199
14000606;-23,2369;-45,9128
14000607;0;0
14000608;-23,492764;-46,552543
14000609;0;0
14000610;-23,500331;-46,559875
14000611;-23,461689;-46,489819
14000612;-23,461689;-46,489819
14000613;0;0
14000614;-23,496481;-46,557503
14000615;0;0
14000616;-23,46984;-46,51244
14000617;0;0
14000618;0;0
14000619;-23,462158;-46,491153
14000620;-23,498089;-46,558447
14000621;-23,462158;-46,491153
14000622;-23,226886;-45,933299
14000623;-23,225825;-46,560962
14000624;0;0
14000625;0;0
14000626;0;0
14000627;-23,248959;-46,56165
14000628;-23,226373;-45,913136
14000629;-23,503761;-46,567167
14000630;-23,233601;-45,914902
14000631;0;0
14000632;0;0
14000633;0;0
14000634;0;0
14000635;-23,469325;-46,511675
14000636;0;0
14000637;-23,2367;-45,9132
14000638;-23,475756;-46,526124
14000639;-23,2324;-45,9138
14000640;0;0
14000641;0;0
14000642;0;0
14000643;-23,437156;-46,431
14000644;0;0
14000645;0;0
14000646;0;0
14000647;0;0
14000648;-23,497317;-46,558758
14000649;0;0
14000650;0;0
14000651;-23,225804;-46,560526
14000652;0;0
14000653;0;0
14000654;-23,469761;-46,513075
14000655;-23,503222;-46,566403
14000656;-23,503222;-46,566403
14000657;0;0
14000658;0;0
14000659;0;0
14000660;0;0
14000661;0;0
14000662;0;0
14000663;0;0
14000664;0;0
14000665;-23,226886;-45,933299
14000666;-23,469067;-46,510842
14000667;-23,231767;-46,561425
14000668;-23,234195;-45,907178
14000669;0;0
14000670;0;0
14000671;0;0
14000672;-23,437382;-46,431536
14000673;0;0
14000674;0;0
14000675;-23,499327;-45,916204
14000676;-23,471756;-46,518467
14000677;-23,233685;-45,916412
14000678;-23,503611;-46,566967
14000679;0;0
14000680;-23,2243;-45,905499
14000681;-23,497539;-46,55905
14000682;-23,49915;-45,915925
14000683;-23,225901;-45,9067
14000684;0;0
14000685;-23,504117;-46,567619
14000686;0;0
14000687;0;0
14000688;0;0
14000689;0;0
14000690;-23,49067;-46,549379
14000691;0;0
14000692;0;0
14000693;0;0
14000694;-23,498143;-46,56215
14000695;0;0
14000696;0;0
14000697;0;0
14000698;-23,352466;-46,200801
14000699;0;0
14000700;0;0
14000701;0;0
14000702;-23,333876;-46,140443
14000703;-23,449091;-46,548621
14000704;0;0
14000705;-23,48477;-46,538429
14000706;-23,503422;-46,566706
14000707;0;0
14000708;0;0
14000709;0;0
14000710;0;0
14000711;0;0
14000712;0;0
14000713;0;0
14000714;0;0
14000715;0;0
14000716;0;0
14000717;0;0
14000718;-23,471517;-46,517956
14000719;-23,332695;-46,138092
14000720;-23,496628;-46,557761
14000721;0;0
14000722;0;0
14000723;-23,462792;-46,492817
14000724;-23,498361;-46,560247
14000725;-23,4135;-46,3617
14000726;-23,2237;-45,905602
14000727;-23,492973;-46,552031
14000728;0;0
14000729;-23,497722;-46,559242
14000730;-23,2311;-45,9123
14000731;0;0
14000732;-23,437044;-46,430732
14000733;0;0
14000734;-23,476165;-46,525209
14000735;-23,435586;-46,426897
14000736;-23,493561;-46,55987
14000737;-23,503761;-46,567167
14000738;-23,224899;-45,905701
14000739;-23,503422;-46,566706
14000740;0;0
14000741;-23,497101;-46,557999
14000742;-23,504311;-46,567858
14000743;0;0
14000744;0;0
14000745;-23,234174;-45,907388
14000746;0;0
14000747;0;0
14000748;-23,414;-46,361198
14000749;0;0
14000750;-23,471081;-46,516961
14000751;-23,492764;-46,552543
14000752;0;0
14000753;0;0
14000754;-23,2311;-45,9123
14000755;0;0
14000756;0;0
14000757;-23,436019;-46,428015
14000758;0;0
14000759;0;0
14000760;0;0
14000761;-23,2286;-45,9098
14000762;-23,493253;-46,551765
14000763;-23,504117;-46,567619
14000764;0;0
14000765;0;0
14000766;0;0
14000767;0;0
14000768;0;0
14000769;-23,457258;-46,478747
14000770;0;0
14000771;0;0
14000772;0;0
14000773;-23,23335;-45,915925
14000774;0;0
14000775;0;0
14000776;-23,2297;-45,9109
14000777;-23,231199;-45,912601
14000778;-23,490525;-46,549387
14000779;-23,496964;-46,558256
14000780;-23,4629;-46,493094
14000781;0;0
14000782;-23,504311;-46,567858
14000783;0;0
14000784;-23,490744;-46,549725
14000785;-23,504517;-46,568064
14000786;0;0
14000787;-23,49119;-46,549343
14000788;-23,4629;-46,493094
14000789;-23,493253;-46,551765
14000790;-23,503611;-46,566967
14000791;0;0
14000792;0;0
14000793;0;0
14000794;-23,516623;-46,580141
14000795;0;0
14000796;0;0
14000797;0;0
14000798;0;0
14000799;0;0
14000800;-23,233087;-45,915779
14000801;-23,516623;-46,580141
14000802;0;0
14000803;0;0
14000804;0;0
14000805;-23,435577;-46,427271
14000806;0;0
14000807;-23,232625;-45,915007
14000808;-23,471197;-46,517236
14000809;0;0
14000810;0;0
14000811;0;0
14000812;-23,461781;-46,490083
14000813;-23,435947;-46,427694
14000814;-23,461781;-46,490083
14000815;-23,516415;-46,579938
14000816;-23,494247;-46,55435
14000817;0;0
14000818;0;0
14000819;0;0
14000820;-23,516415;-46,579938
14000821;-23,2547;-45,943001
14000822;0;0
14000823;-23,491225;-46,549431
14000824;0;0
14000825;-23,503939;-46,567364
14000826;-23,504517;-46,568064
14000827;-23,457544;-46,478831
14000828;-23,496092;-46,558664
14000829;0;0
14000830;0;0
14000831;0;0
14000832;-23,459125;-46,482608
14000833;-23,2292;-45,9105
14000834;-23,232;-45,913399
14000835;-23,471081;-46,516961
14000836;0;0
14000837;0;0
14000838;0;0
14000839;-23,233015;-45,915295
14000840;0;0
14000841;-23,49263;-46,552342
14000842;-23,457431;-46,478581
14000843;0;0
14000844;-23,233685;-45,916412
14000845;-23,495906;-46,558853
14000846;-23,495633;-46,559028
14000847;0;0
14000848;0;0
14000849;0;0
14000850;-23,500261;-46,560786
14000851;0;0
14000852;-23,471322;-46,517531
14000853;0;0
14000854;-23,457486;-46,479292
14000855;0;0
14000856;-23,499897;-46,559583
14000857;-23,457378;-46,479017
14000858;-23,457258;-46,478747
14000859;0;0
14000860;-23,436846;-46,429885
14000861;0;0
14000862;-23,437269;-46,431268
14000863;-23,495339;-46,559122
14000864;0;0
14000865;-23,490877;-46,549706
14000866;-23,471197;-46,517236
14000867;-23,2288;-45,9104
14000868;-23,495081;-46,55915
14000869;0;0
14000870;-23,497947;-46,558242
14000871;0;0
14000872;-23,471756;-46,518467
14000873;0;0
14000874;0;0
14000875;-23,494825;-46,559147
14000876;-23,500869;-46,560822
14000877;-23,2288;-45,909901
14000878;0;0
14000879;-23,2288;-45,910301
14000880;0;0
14000881;-23,472006;-46,518983
14000882;-23,472006;-46,518983
14000883;-23,494422;-46,554625
14000884;-23,456461;-46,476889
14000885;-23,461663;-46,49042
14000886;0;0
14000887;-23,461663;-46,49042
14000888;-23,436034;-46,428328
14000889;-23,4946;-46,554863
14000890;-23,435354;-46,426739
14000891;-23,435921;-46,428061
14000892;-23,494767;-46,555089
14000893;-23,436595;-46,429664
14000894;-23,494961;-46,555358
14000895;0;0
14000896;-23,435688;-46,427539
14000897;0;0
14000898;0;0
14000899;-23,471872;-46,518711
14000900;-23,46525;-46,499683
14000901;-23,456811;-46,477689
14000902;0;0
14000903;-46,425499;-46,425499
14000904;-23,464372;-46,497231
14000905;-23,493097;-46,552728
14000906;0;0
14000907;-23,457378;-46,479017
14000908;-23,457028;-46,478211
14000909;-23,493258;-46,552998
14000910;-23,493419;-46,553194
14000911;-23,493569;-46,553422
14000912;-23,495144;-46,555625
14000913;0;0
14000914;-23,458722;-46,482217
14000915;0;0
14000916;0;0
14000917;-23,495311;-46,555864
14000918;0;0
14000919;-23,458825;-46,482475
14000920;0;0
14000921;-23,458614;-46,48195
14000922;-23,456578;-46,477164
14000923;-23,464561;-46,497786
14000924;-23,435464;-46,427003
14000925;-23,458614;-46,48195
14000926;-23,495481;-46,556106
14000927;0;0
14000928;-23,495639;-46,556356
14000929;-23,456578;-46,477164
14000930;-23,232201;-45,913601
14000931;-23,45715;-46,478478
14000932;-23,498208;-46,560014
14000933;-23,456811;-46,477689
14000934;-23,456461;-46,476889
14000935;0;0
14000936;-23,464561;-46,497786
14000937;0;0
14000938;-23,457028;-46,478211
14000939;-23,457486;-46,479292
14000940;0;0
14000941;-23,46525;-46,499683
14000942;-23,496117;-46,557094
14000943;-23,496233;-46,557356
14000944;0;0
14000945;0;0
14000946;-23,456697;-46,477433
14000947;-23,496347;-46,557867
14000948;-23,496319;-46,558142
